strain,stress,strain_rate,temperature
0.0002,0.119298838,500000000,550
0.0003,0.20737891,500000000,550
0.0004,0.29510218,500000000,550
0.0005,0.33818763,500000000,550
0.0006,0.369728031,500000000,550
0.0007,0.373568217,500000000,550
0.0008,0.368215993,500000000,550
0.0009,0.340875373,500000000,550
0.001,0.304408149,500000000,550
0.0011,0.230865455,500000000,550
0.0012,0.174702126,500000000,550
0.0013,0.154273096,500000000,550
0.0014,0.11986188,500000000,550
0.0015,0.109500734,500000000,550
0.0016,0.136751742,500000000,550
0.0017,0.18069909,500000000,550
0.0018,0.228062868,500000000,550
0.0019,0.282736629,500000000,550
0.002,0.371951493,500000000,550
0.0021,0.421291962,500000000,550
0.0022,0.442480883,500000000,550
0.0023,0.444792167,500000000,550
0.0024,0.423985546,500000000,550
0.0025,0.390851649,500000000,550
0.0026,0.337298391,500000000,550
0.0027,0.296419375,500000000,550
0.0028,0.262398985,500000000,550
0.0029,0.219869073,500000000,550
0.003,0.236526078,500000000,550
0.0031,0.232296862,500000000,550
0.0032,0.255262343,500000000,550
0.0033,0.286832494,500000000,550
0.0034,0.329709969,500000000,550
0.0035,0.356324777,500000000,550
0.0036,0.39043636,500000000,550
0.0037,0.418075644,500000000,550
0.0038,0.455688698,500000000,550
0.0039,0.450731809,500000000,550
0.004,0.423776874,500000000,550
0.0041,0.414722946,500000000,550
0.0042,0.365321925,500000000,550
0.0043,0.335407437,500000000,550
0.0044,0.341794958,500000000,550
0.0045,0.332821436,500000000,550
0.0046,0.323860158,500000000,550
0.0047,0.326403208,500000000,550
0.0048,0.3611251,500000000,550
0.0049,0.391918835,500000000,550
0.005,0.421977514,500000000,550
0.0051,0.441776505,500000000,550
0.0052,0.455784912,500000000,550
0.0053,0.476039358,500000000,550
0.0054,0.478921196,500000000,550
0.0055,0.479098435,500000000,550
0.0056,0.479146584,500000000,550
0.0057,0.470014288,500000000,550
0.0058,0.442317933,500000000,550
0.0059,0.407814088,500000000,550
0.006,0.423513259,500000000,550
0.0061,0.413276006,500000000,550
0.0062,0.431628901,500000000,550
0.0063,0.4463318,500000000,550
0.0064,0.479870111,500000000,550
0.0065,0.497225809,500000000,550
0.0066,0.524239731,500000000,550
0.0067,0.535968995,500000000,550
0.0068,0.540727087,500000000,550
0.0069,0.535777809,500000000,550
0.007,0.527091014,500000000,550
0.0071,0.521316282,500000000,550
0.0072,0.501018051,500000000,550
0.0073,0.501064103,500000000,550
0.0074,0.494362107,500000000,550
0.0075,0.470301832,500000000,550
0.0076,0.481643041,500000000,550
0.0077,0.479006142,500000000,550
0.0078,0.484078221,500000000,550
0.0079,0.507220727,500000000,550
0.008,0.517360629,500000000,550
0.0081,0.547347314,500000000,550
0.0082,0.572108965,500000000,550
0.0083,0.567438742,500000000,550
0.0084,0.56856739,500000000,550
0.0085,0.574129141,500000000,550
0.0086,0.573604275,500000000,550
0.0087,0.555513437,500000000,550
0.0088,0.552281099,500000000,550
0.0089,0.554895379,500000000,550
0.009,0.550834413,500000000,550
0.0091,0.543042981,500000000,550
0.0092,0.559322633,500000000,550
0.0093,0.570439031,500000000,550
0.0094,0.56700339,500000000,550
0.0095,0.596887012,500000000,550
0.0096,0.602326233,500000000,550
0.0097,0.615338824,500000000,550
0.0098,0.614925248,500000000,550
