strain,stress,strain_rate,temperature
0.00188,0.269561835,50000000,600
0.00189,0.257811247,50000000,600
0.0019,0.260773712,50000000,600
0.00191,0.267882964,50000000,600
0.00192,0.278965375,50000000,600
0.00193,0.296375413,50000000,600
0.00194,0.289567363,50000000,600
0.00195,0.308504217,50000000,600
0.00196,0.300548647,50000000,600
0.00197,0.278274563,50000000,600
0.00198,0.263277949,50000000,600
0.00199,0.302014179,50000000,600
0.002,0.286491116,50000000,600
0.00201,0.280830406,50000000,600
0.00202,0.261279037,50000000,600
0.00203,0.262140816,50000000,600
0.00204,0.293130289,50000000,600
0.00205,0.286896205,50000000,600
0.00206,0.291649891,50000000,600
0.00207,0.287949715,50000000,600
0.00208,0.288535477,50000000,600
0.00209,0.285544272,50000000,600
0.0021,0.298846394,50000000,600
0.00211,0.324116349,50000000,600
0.00212,0.309868652,50000000,600
0.00213,0.287261759,50000000,600
0.00214,0.291340847,50000000,600
0.00215,0.300478302,50000000,600
0.00216,0.301281832,50000000,600
0.00217,0.29260001,50000000,600
0.00218,0.2965859,50000000,600
0.00219,0.31567925,50000000,600
0.0022,0.318538761,50000000,600
0.00221,0.309744442,50000000,600
0.00222,0.324649624,50000000,600
0.00223,0.301211194,50000000,600
0.00224,0.301467585,50000000,600
0.00225,0.308406365,50000000,600
0.00226,0.285990986,50000000,600
0.00227,0.293879624,50000000,600
0.00228,0.311210967,50000000,600
0.00229,0.323681872,50000000,600
0.0023,0.325464934,50000000,600
0.00231,0.321331791,50000000,600
0.00232,0.314814904,50000000,600
0.00233,0.297939086,50000000,600
0.00234,0.32325742,50000000,600
0.00235,0.313273544,50000000,600
0.00236,0.301578766,50000000,600
0.00237,0.293310781,50000000,600
0.00238,0.298676035,50000000,600
0.00239,0.297194486,50000000,600
0.0024,0.297684303,50000000,600
0.00241,0.297269223,50000000,600
0.00242,0.299920143,50000000,600
0.00243,0.293127424,50000000,600
0.00244,0.30122159,50000000,600
0.00245,0.317307648,50000000,600
0.00246,0.310843142,50000000,600
0.00247,0.319665898,50000000,600
0.00248,0.329729288,50000000,600
0.00249,0.321279252,50000000,600
0.0025,0.347431152,50000000,600
0.00251,0.320928714,50000000,600
0.00252,0.325161167,50000000,600
0.00253,0.309694015,50000000,600
0.00254,0.307808995,50000000,600
0.00255,0.313241538,50000000,600
0.00256,0.311280062,50000000,600
0.00257,0.299859521,50000000,600
0.00258,0.324240951,50000000,600
0.00259,0.30000235,50000000,600
0.0026,0.317802451,50000000,600
0.00261,0.32420722,50000000,600
0.00262,0.319326746,50000000,600
0.00263,0.333655699,50000000,600
0.00264,0.337097645,50000000,600
0.00265,0.32340871,50000000,600
0.00266,0.318779751,50000000,600
0.00267,0.321715132,50000000,600
0.00268,0.320629278,50000000,600
0.00269,0.318536703,50000000,600
