strain,stress,strain_rate,temperature
1e-05,0.040185507,50000000,500
2e-05,0.178633854,50000000,500
3e-05,0.223371347,50000000,500
4e-05,0.275393767,50000000,500
5e-05,0.284717526,50000000,500
6e-05,0.306985549,50000000,500
7e-05,0.291035909,50000000,500
8e-05,0.269116126,50000000,500
9e-05,0.232047457,50000000,500
0.0001,0.220489069,50000000,500
0.00011,0.196612104,50000000,500
0.00012,0.155966667,50000000,500
0.00013,0.142912485,50000000,500
0.00014,0.113845424,50000000,500
0.00015,0.116142277,50000000,500
0.00016,0.126232682,50000000,500
0.00017,0.150526098,50000000,500
0.00018,0.19907086,50000000,500
0.00019,0.252056891,50000000,500
0.0002,0.277742164,50000000,500
0.00021,0.320164576,50000000,500
0.00022,0.303906231,50000000,500
0.00023,0.297826896,50000000,500
0.00024,0.271859873,50000000,500
0.00025,0.237900575,50000000,500
0.00026,0.21228494,50000000,500
0.00027,0.205358357,50000000,500
0.00028,0.162949266,50000000,500
0.00029,0.152395037,50000000,500
0.0003,0.166060664,50000000,500
0.00031,0.172943278,50000000,500
0.00032,0.169106383,50000000,500
0.00033,0.198109616,50000000,500
0.00034,0.198238775,50000000,500
0.00035,0.256467079,50000000,500
0.00036,0.27195936,50000000,500
0.00037,0.262041855,50000000,500
0.00038,0.275319425,50000000,500
0.00039,0.256203661,50000000,500
0.0004,0.239538141,50000000,500
0.00041,0.215718548,50000000,500
0.00042,0.198528102,50000000,500
0.00043,0.184823054,50000000,500
0.00044,0.162673851,50000000,500
0.00045,0.160875767,50000000,500
0.00046,0.166490591,50000000,500
0.00047,0.192330007,50000000,500
0.00048,0.216333242,50000000,500
0.00049,0.212897136,50000000,500
0.0005,0.226644451,50000000,500
0.00051,0.237121215,50000000,500
0.00052,0.256733602,50000000,500
0.00053,0.261848108,50000000,500
0.00054,0.272369451,50000000,500
0.00055,0.249351043,50000000,500
0.00056,0.243128423,50000000,500
0.00057,0.248316086,50000000,500
0.00058,0.235301325,50000000,500
0.00059,0.23049606,50000000,500
0.0006,0.228085624,50000000,500
0.00061,0.230668485,50000000,500
0.00062,0.223247919,50000000,500
0.00063,0.238295913,50000000,500
0.00064,0.26376737,50000000,500
0.00065,0.279024547,50000000,500
0.00066,0.276108514,50000000,500
0.00067,0.278759122,50000000,500
0.00068,0.279058186,50000000,500
0.00069,0.265226045,50000000,500
0.0007,0.280861232,50000000,500
0.00071,0.257516458,50000000,500
0.00072,0.243557015,50000000,500
0.00073,0.22231344,50000000,500
0.00074,0.223623967,50000000,500
0.00075,0.223627137,50000000,500
0.00076,0.219962031,50000000,500
0.00077,0.232954665,50000000,500
0.00078,0.225532226,50000000,500
0.00079,0.242887432,50000000,500
0.0008,0.243441232,50000000,500
0.00081,0.264848538,50000000,500
0.00082,0.261959405,50000000,500
0.00083,0.256574273,50000000,500
