strain,stress,strain_rate,temperature
1e-05,0.0,50000000,650
2e-05,0.0,50000000,650
3e-05,0.0,50000000,650
4.5e-05,0.078324322,50000000,650
6e-05,0.22100177,50000000,650
7.5e-05,0.317807533,50000000,650
9e-05,0.389761652,50000000,650
0.000105,0.425836271,50000000,650
0.00012,0.425971882,50000000,650
0.000135,0.409976359,50000000,650
0.00015,0.329890614,50000000,650
0.000165,0.224407761,50000000,650
0.00018,0.120534838,50000000,650
0.000195,0.038825298,50000000,650
0.00021,-0.025307449,50000000,650
0.000225,-0.065425584,50000000,650
0.00024,-0.069307435,50000000,650
0.000255,-0.043289451,50000000,650
0.00027,0.026038027,50000000,650
0.000285,0.138205929,50000000,650
0.0003,0.266599546,50000000,650
0.000315,0.364174099,50000000,650
0.00033,0.422180215,50000000,650
0.000345,0.439595693,50000000,650
0.00036,0.401455555,50000000,650
0.000375,0.367553463,50000000,650
0.00039,0.291058772,50000000,650
0.000405,0.204145048,50000000,650
0.00042,0.136757029,50000000,650
0.000435,0.083746893,50000000,650
0.00045,0.056729088,50000000,650
0.000465,0.033794143,50000000,650
0.00048,0.060042294,50000000,650
0.000495,0.084669081,50000000,650
0.00051,0.138182249,50000000,650
0.000525,0.209442891,50000000,650
0.00054,0.265177659,50000000,650
0.000555,0.311722991,50000000,650
0.00057,0.342439369,50000000,650
0.000585,0.351477373,50000000,650
0.0006,0.328471067,50000000,650
0.000615,0.285499398,50000000,650
0.00063,0.219443559,50000000,650
0.000645,0.158588226,50000000,650
0.00066,0.107185642,50000000,650
0.000675,0.064756477,50000000,650
0.00069,0.056427044,50000000,650
0.000705,0.066579745,50000000,650
0.00072,0.11879649,50000000,650
0.000735,0.161288738,50000000,650
0.00075,0.18220734,50000000,650
0.000765,0.227429431,50000000,650
0.00078,0.274537626,50000000,650
0.000795,0.286552485,50000000,650
0.00081,0.315910882,50000000,650
0.000825,0.319806035,50000000,650
0.00084,0.29031152,50000000,650
0.000855,0.251354768,50000000,650
0.00087,0.227578558,50000000,650
0.000885,0.194146989,50000000,650
0.0009,0.181558015,50000000,650
0.000915,0.15676376,50000000,650
0.00093,0.132725692,50000000,650
0.000945,0.171236144,50000000,650
0.00096,0.191637688,50000000,650
0.000975,0.223492307,50000000,650
0.00099,0.268877622,50000000,650
0.001005,0.30648354,50000000,650
0.00102,0.322099194,50000000,650
0.001035,0.323172779,50000000,650
0.00105,0.320308533,50000000,650
0.001065,0.305030704,50000000,650
0.00108,0.291581619,50000000,650
0.001095,0.256432304,50000000,650
0.00111,0.20577919,50000000,650
0.001125,0.173875931,50000000,650
0.00114,0.160270634,50000000,650
0.001155,0.161511476,50000000,650
0.00117,0.184174224,50000000,650
0.001185,0.183017061,50000000,650
0.0012,0.213136303,50000000,650
0.001215,0.238633028,50000000,650
0.00123,0.245825878,50000000,650
0.001245,0.280634645,50000000,650
0.00126,0.296921293,50000000,650
0.001275,0.302558805,50000000,650
0.00129,0.28865602,50000000,650
0.001305,0.278612509,50000000,650
0.00132,0.237451362,50000000,650
0.001335,0.217882664,50000000,650
0.00135,0.215945774,50000000,650
0.001365,0.211002367,50000000,650
0.00138,0.183356544,50000000,650
0.001395,0.209058482,50000000,650
0.00141,0.192096141,50000000,650
0.001425,0.214767488,50000000,650
0.00144,0.22711685,50000000,650
0.001455,0.2427084,50000000,650
0.00147,0.267986799,50000000,650
0.001485,0.282133185,50000000,650
0.0015,0.282166443,50000000,650
0.001515,0.290103458,50000000,650
0.00153,0.274311542,50000000,650
0.001545,0.262861504,50000000,650
0.00156,0.263614159,50000000,650
0.001575,0.242108289,50000000,650
0.00159,0.226904075,50000000,650
0.001605,0.231189078,50000000,650
0.00162,0.230973642,50000000,650
0.001635,0.229621239,50000000,650
0.00165,0.235607902,50000000,650
0.001665,0.25346852,50000000,650
0.00168,0.271659757,50000000,650
0.001695,0.300757137,50000000,650
0.00171,0.297954312,50000000,650
0.001725,0.287565814,50000000,650
0.00174,0.288296371,50000000,650
0.001755,0.300535186,50000000,650
0.00177,0.288572923,50000000,650
0.001785,0.279277978,50000000,650
0.0018,0.257543413,50000000,650
0.001815,0.249264904,50000000,650
0.00183,0.249978118,50000000,650
0.001845,0.252529498,50000000,650
0.00186,0.252663786,50000000,650
0.001875,0.251601737,50000000,650
0.00189,0.282094189,50000000,650
0.001905,0.308576123,50000000,650
0.00192,0.298691564,50000000,650
0.001935,0.30388523,50000000,650
0.00195,0.311702281,50000000,650
0.001965,0.29416268,50000000,650
0.00198,0.286287025,50000000,650
0.001995,0.278241594,50000000,650
0.00201,0.267073176,50000000,650
0.002025,0.261659595,50000000,650
0.00204,0.253864568,50000000,650
0.002055,0.243823922,50000000,650
0.00207,0.242753971,50000000,650
0.002085,0.23893555,50000000,650
0.0021,0.227994626,50000000,650
0.002115,0.264398685,50000000,650
0.00213,0.282583612,50000000,650
0.002145,0.293080082,50000000,650
0.00216,0.289667173,50000000,650
0.002175,0.299675025,50000000,650
0.00219,0.289888581,50000000,650
0.002205,0.286550677,50000000,650
0.00222,0.282424407,50000000,650
0.002235,0.267628368,50000000,650
0.00225,0.266831195,50000000,650
0.002265,0.263773707,50000000,650
0.00228,0.263156308,50000000,650
0.002295,0.271077314,50000000,650
0.00231,0.259585481,50000000,650
0.002325,0.275500888,50000000,650
0.00234,0.26434947,50000000,650
0.002355,0.274883554,50000000,650
0.00237,0.285723986,50000000,650
0.002385,0.30071017,50000000,650
0.0024,0.307523336,50000000,650
0.002415,0.307692244,50000000,650
0.00243,0.291374019,50000000,650
0.002445,0.30887317,50000000,650
0.00246,0.300351142,50000000,650
0.002475,0.289772945,50000000,650
0.00249,0.280516432,50000000,650
0.002505,0.272643353,50000000,650
0.00252,0.268189415,50000000,650
0.002535,0.28417481,50000000,650
0.00255,0.278026311,50000000,650
0.002565,0.287192891,50000000,650
0.00258,0.293845921,50000000,650
0.002595,0.29220148,50000000,650
0.00261,0.305251964,50000000,650
0.002625,0.317728412,50000000,650
